Date,TEU,BDI,ln(HRCI),ln(SCFI),ln(다우존스지수),전산업생산지수,경상수지,환율,화물수송총괄,수출물가지수
2000-01-31,570720,1319,1.913430445,2.878874717,4.039038361,55,-218.1,1131.07,181367,133.88
2000-02-29,590400,1531,1.986905136,2.882456286,4.005536985,51.9,-324.1,1128.8,218300,130.56
2000-03-31,665430,1660,2.050942698,2.884830695,4.038298991,58.7,275.3,1117.19,206116,128.19
2000-04-30,603930,1628,2.107498612,2.887109802,4.03075795,56.9,-1156,1109.76,166931,126.84
2000-05-31,683880,1566,2.158142575,2.890466346,4.022111918,59.6,1535.5,1120.01,208853,127.89
2000-06-30,633450,1616,2.202908077,2.893288995,4.019028592,59.8,2274.4,1118.73,193843,129.67
2000-07-31,665430,1642,2.242718613,2.89715868,4.022097472,59.3,571.5,1114.86,227748,131.19
2000-08-31,607620,1652,2.279145341,2.901888207,4.04980315,58.1,1168.4,1114.57,291396,132.41
2000-09-30,630990,1739,2.312696464,2.905464827,4.027387123,58.9,2133.9,1116.5,191649,131.81
2000-10-31,670350,1759,2.343168907,2.906255989,4.040251757,60.1,1210.9,1127.31,206890,128.65
2000-11-30,662970,1672,2.371677479,2.912726067,4.017638007,60,934.6,1151.15,190185,125.88
2000-12-31,677730,1599,2.39575525,2.913621767,4.03289464,63.7,1774.5,1214.4,194213,129.57
2001-01-31,753676,1504,2.419729774,2.92095234,4.036922583,56.5,-672.9,1272.82,70860861,134.05
2001-02-28,710291,1537,2.446139285,2.921507207,4.020994029,54.6,-532.6,1252.44,64649214,130.06
2001-03-31,867658,1438,2.471896837,2.920983911,3.994703314,60.3,1509.4,1288.43,78638027,131.25
2001-04-30,828751,1459,2.497322714,2.924713415,4.030800835,60.1,-847.2,1325.55,79777076,133.34
2001-05-31,815411,1389,2.520735835,2.927916532,4.037901969,62.2,1158.8,1298.46,75377941,128.86
2001-06-30,813731,1386,2.541922413,2.934117014,4.021288555,61,1363.8,1293.83,75429926,125.52
2001-07-31,839967,1049,2.561402148,2.938888119,4.022131729,59.7,-42,1302.6,73119661,122.96
2001-08-31,832937,927,2.580465874,2.944043961,3.997812169,60.1,-266.4,1285.39,70667211,120.64
2001-09-30,886677,952,2.597405395,2.950075407,3.946823517,63.9,324.6,1293.7,73043255,121.29
2001-10-31,862647,861,2.615474602,2.950156226,3.957853334,62,223.7,1302.6,75516669,119.31
2001-11-30,873230,868,2.630905804,2.952225069,3.993505007,64.4,-123.2,1284,74432000,115.4
2001-12-31,905135,876,2.645600942,2.954120745,4.000932731,68.3,69.2,1289.66,77673873,114.59
2002-01-31,911975,908,2.658774321,2.962034527,3.996511672,62.6,-713.8,1317.6,74412930,117.85
2002-02-28,827066,1031,2.673020907,2.967345523,4.00458488,58.1,279.2,1318.72,68009988,119.77
2002-03-31,977449,1082,2.693946678,2.969402865,4.017197839,65.9,734.6,1322.51,81482106,123.34
2002-04-30,965269,1027,2.718916686,2.968826046,3.997658061,66.4,-830.7,1318.93,78033014,123.44
2002-05-31,1000542,1042,2.746166964,2.972069474,3.996741455,67.5,623.7,1266.06,78117930,118.03
2002-06-30,991571,1005,2.767526899,2.971935373,3.965825169,65,551.2,1223.47,75765455,112.84
2002-07-31,1013930,968,2.782185866,2.976056376,3.941341955,66.4,-62.3,1185.12,75755713,110.66
2002-08-31,981538,1036,2.796227314,2.982800207,3.93769338,64.4,-813.1,1196.37,72024522,111.94
2002-09-30,1038968,1367,2.808885867,2.985335519,3.880352195,66.5,1630.5,1208.5,75373386,113.43
2002-10-31,1033022,1417,2.816506437,2.9822045,3.924125705,68.7,876.4,1241.13,77035563,115.64
2002-11-30,1055852,1560,2.823474229,2.996495254,3.949199168,69,705.2,1211.91,75088001,112.54
2002-12-31,1092616,1738,2.805276517,2.992803066,3.921250922,73.4,1085.2,1208.91,82996690,113.33
2003-01-31,1077144,1530,2.79761373,3.006611496,3.90600138,65.2,-2192.9,1179.27,80836191,112.72
2003-02-28,967391,1764,2.829625353,2.999980456,3.897136446,60.7,-740.2,1191.19,72338462,115.5
2003-03-31,1176081,1939,2.871718843,2.991543925,3.90266254,67.9,-143.6,1232.4,82797656,118.54
2003-04-30,1153587,2142,2.92251786,2.998709315,3.928400461,67.6,-1008.2,1232.82,80122392,114.64
2003-05-31,1106348,2127,2.962960937,3.001945618,3.946956029,67.6,-51.3,1199.78,78060976,111.87
2003-06-30,1096770,2125,2.988335956,3.016926841,3.953539349,68.2,1097.1,1194.02,80595564,111.77
2003-07-31,1093158,2181,3.005352136,3.024802653,3.965380464,67.4,622.2,1181.59,79656382,111.24
2003-08-31,1027614,2265,3.029180789,3.032465643,3.973858148,66,971.6,1178.42,74927568,111.85
2003-09-30,1025779,2993,3.039810554,3.04517819,3.967316728,68.3,3273.5,1166.17,74135994,110.47
2003-10-31,1165976,4555,3.055301864,3.04210198,3.991275707,71,3555.7,1166.27,83643554,111.76
2003-11-30,1124933,4417,3.044343735,3.035384705,3.990448081,70.5,2949.4,1184.87,80887351,114.67
2003-12-31,1171090,4765,3.034897051,3.036281481,4.019279172,77.5,2975,1192.95,86664881,117.07
2004-01-31,1139459,5551,3.052790099,3.039450606,4.020695577,66.8,2123.4,1184.32,82473090,119.1
2004-02-29,1105594,5263,3.096910013,3.024957471,4.024646549,65.2,1206.6,1166.69,76732202,118.29
2004-03-31,1238253,4822,3.137164145,3.023256576,4.015263328,71.8,1897.7,1166.34,81397320,118.34
2004-04-30,1227603,3958,3.164724524,3.031801777,4.009687526,70.7,543.8,1150.85,79895344,118.09
2004-05-31,1262583,3286,3.180555941,3.040922603,4.008108118,70.6,4340.6,1177.37,84546169,121.8
2004-06-30,1206836,3005,3.190331698,3.050376856,4.01851243,71.3,1887.3,1158.65,79712250,119.91
2004-07-31,1194042,4048,3.196728723,3.055459372,4.006025534,69.5,2132.6,1157.66,79708733,121.5
2004-08-31,1142855,4186,3.202283927,3.055108725,4.007488318,67.9,1642.2,1159,69662742,124.41
2004-09-30,1180484,4105,3.221674997,3.06737126,4.003472165,70.7,4145.7,1147.97,74673016,124.37
2004-10-31,1243259,4922,3.235907027,3.077341738,4.001191371,71.9,2178.8,1144.04,81969903,126.31
2004-11-30,1286451,6051,3.245389271,3.073860343,4.018201855,72.3,4144.7,1091.19,80279784,120.54
2004-12-31,1295719,4598,3.265230679,3.071275043,4.032740008,77.9,3046.5,1050.91,88790186,113.8
2005-01-31,1239913,4488,3.28057837,3.05831845,4.020773004,69.6,1398,1038.23,86077655,117.16
2005-02-28,1062543,4726,3.294851849,3.059580456,4.032063653,64.6,752.4,1022.43,72457828,115.76
2005-03-31,1310771,4637,3.306982283,3.044986368,4.02134479,74.3,1315.6,1007.49,89875339,114.15
2005-04-30,1305862,3850,3.311382964,3.061533148,4.008281146,72.6,-1734.7,1010.94,84773046,113.39
2005-05-31,1299105,3219,3.318637143,3.063410301,4.01984214,73.5,546.1,1002.21,85771675,109.92
2005-06-30,1251474,2521,3.318188594,3.069767966,4.011780563,74.3,958.6,1010.87,76988331,110.35
2005-07-31,1310410,1804,3.30588853,3.060357069,4.02697877,72.9,622,1037.44,81666393,112.89
2005-08-31,1252241,2592,3.277929947,3.05674196,4.020427582,71.5,973.5,1021.17,77276233,111.64
2005-09-30,1245495,2907,3.248095931,3.060398641,4.02402157,74.4,724.6,1029.33,76472095,112.68
2005-10-31,1343591,3113,3.192428055,3.063246078,4.018703411,75.4,3014.9,1046.25,85329964,113.37
2005-11-30,1299372,2770,3.12515583,3.051851656,4.033659738,78.2,1866.3,1041.43,85505227,110.59
2005-12-31,1295683,2407,3.111373426,3.038013395,4.030093492,84.4,1771.3,1024.15,86261172,108.28
2006-01-31,1271573,2081,3.103119254,3.024154073,4.036024135,73.3,-78.3,987.03,90645000,105.64
2006-02-28,1158994,2680,3.089640217,3.016379317,4.041132425,70.1,-3245.1,970.22,77360787,103.54
2006-03-31,1420772,2496,3.085361944,2.999234098,4.045687477,78,-1625.1,975.09,89282408,103.51
2006-04-30,1344773,2368,3.101489307,2.99828005,4.055651209,76.7,-3428.9,954.44,86628263,102.3
2006-05-31,1351732,2436,3.122936373,3.001179677,4.04798746,77.9,-43.8,941.4,90504785,101.99
2006-06-30,1325167,2964,3.131297797,2.998352641,4.047283436,77.6,2189.9,955.16,85130929,103.5
2006-07-31,1318795,3285,3.128156849,2.997914731,4.048662391,73.5,-698.4,950.15,84627833,103.51
2006-08-31,1308814,3847,3.12083706,3.003251521,4.056186147,75.9,-1540.5,960.72,84508489,105.57
2006-09-30,1330508,3944,3.102090526,3.010512811,4.067408261,81.4,3088.4,953.68,87552827,104.85
2006-10-31,1347989,4037,3.072433726,3.023222614,4.082093178,78.5,2688.4,954.23,85825606,103.66
2006-11-30,1405994,4336,3.031650794,3.032127989,4.087139792,82.2,4455.8,936.22,86239463,101.2
2006-12-31,1379785,4397,3.013119635,3.014110411,4.095627822,87.4,332.4,925.75,92780831,100.11
2007-01-31,1382096,4225,3.01853407,3.0140341,4.101117509,77,214.1,936.36,88661315,99.64
2007-02-28,1313846,4765,3.049508748,3.013501861,4.088796069,74.4,-729,937.02,80829163,99.19
2007-03-31,1406983,5388,3.061829307,3.004538897,4.091819901,81.7,-1160.4,943.26,92352289,100.05
2007-04-30,1522330,6248,3.080085085,3.002391793,4.116039935,80.3,-2240.6,931.5,92958086,100.39
2007-05-31,1509763,5971,3.0905402,3.008283916,4.134420652,81.7,-2295.3,927.91,97785995,100.53
2007-06-30,1506017,6278,3.100973313,3.014267617,4.127384083,82.8,1581.5,928.32,92823815,100.66
2007-07-31,1522737,6967,3.118099312,3.027127306,4.120968236,81.4,2569.3,918.85,94185106,100.79
2007-08-31,1477097,7702,3.134368385,3.038419856,4.125732986,81.5,2223.4,933.8,88336311,101.97
2007-09-30,1410187,9474,3.144418519,3.047452055,4.142878242,81.8,4312.6,932.41,88553046,102.11
2007-10-31,1512577,10656,3.144013466,3.060916821,4.143951428,86.3,1914.3,915.86,93105346,101.06
2007-11-30,1442975,10210,3.135371209,3.06518744,4.126187274,86.7,3260.2,916.98,88960242,102.98
2007-12-31,1537315,9143,3.128399269,3.063001036,4.122701361,93.4,822.4,930.24,99470266,103.52
2008-01-31,1459489,6052,3.132387781,3.064369998,4.102102885,83.6,-688.7,942.39,97018296,105.42
2008-02-29,1344041,7613,3.137433239,3.076185161,4.088716769,78.7,-2235.2,944.69,86897409,106.66
2008-03-31,1653285,8081,3.138776216,3.061872622,4.088592833,86.7,972.5,979.86,102459992,113.44
2008-04-30,1590671,9356,3.133602771,3.048116349,4.107891413,85.5,-2386.5,986.66,96119581,116.19
2008-05-31,1584385,11440,3.122461636,3.050829673,4.101689347,86,-1737.8,1036.73,99517035,124.59
2008-06-30,1474628,9589,3.09464579,3.055766194,4.054996244,85,-1143,1029.27,91484964,126
2008-07-31,1586346,8341,3.07722251,3.054543156,4.056066693,84.9,-2261.7,1019.12,101375232,126.13
2008-08-31,1577040,6809,3.043362278,3.05201408,4.062339388,82.1,-3845,1041.54,95939568,124.32
2008-09-30,1504112,3217,3.011041526,3.054757604,4.035456155,84.9,1469,1130.4,95126757,130.05
2008-10-31,1510932,851,2.935104021,3.050472561,3.969649306,85.3,3904.5,1326.92,97122323,140.1
2008-11-30,1336679,715,2.800373355,3.026224696,3.945913484,81.4,2761.1,1390.09,92226505,135.44
2008-12-31,1305140,774,2.722362404,2.990392139,3.943315914,86.5,6943.8,1373.84,88558554,129.44
2009-01-31,1171748,1070,2.674401813,2.958000703,3.903136671,76.4,175.8,1346.1,82930616,125.03
2009-02-28,1080430,1986,2.636487896,2.942620596,3.848984902,76,5013,1429.46,79160010,131.07
2009-03-31,1327396,1615,2.583482164,2.923350247,3.881323018,84.1,5786,1461.98,89798816,133.22
2009-04-30,1346117,1786,2.564429327,2.918575485,3.912122109,84.6,3139.2,1341.9,86446748,125.16
2009-05-31,1333400,3494,2.55448916,2.908803385,3.929435786,83.3,2329.4,1258.71,91312510,119.53
2009-06-30,1344931,3757,2.546234106,2.890443376,3.926702494,88.4,4064.7,1261.35,85779302,121.81
2009-07-31,1389726,3350,2.537819095,2.896309016,3.962445579,85.5,1987.7,1263.97,91757374,122.68
2009-08-31,1389936,2421,2.536873949,2.938767323,3.977553511,82.8,1169.6,1238.4,90577335,122.94
2009-09-30,1427376,2220,2.534787359,2.976040313,3.987321194,91.6,2197.6,1219.15,94045208,120.71
2009-10-31,1482098,3103,2.522444234,2.99730511,3.987341316,86.5,2512.2,1175.25,100034014,117.04
2009-11-30,1497194,3887,2.525044807,3.021879485,4.014723778,88.1,3013.8,1164.23,94509016,117.32
2009-12-31,1551026,3005,2.520810932,3.022048765,4.018203105,98.5,1698.6,1166.45,95985975,118.28
2010-01-31,1477177,2848,2.526016021,3.084991608,4.002914305,85.2,-1776.4,1138.82,98634006,117.23
2010-02-28,1369556,2738,2.543136415,3.144154758,4.013900996,83.2,-322.4,1157.08,87325130,118.67
2010-03-31,1618224,2998,2.565139152,3.134374759,4.035695037,94,917.1,1137.64,103414807,118.16
2010-04-30,1652247,3354,2.601244925,3.123684258,4.041732486,90.4,796.9,1117.11,100340034,118.47
2010-05-31,1718807,4078,2.672097858,3.15590814,4.005893594,91.2,6650.4,1163.11,107090092,121.41
2010-06-30,1667667,2406,2.768490105,3.189744303,3.990073223,94.3,3751.1,1212.33,100911957,124.95
2010-07-31,1671434,1967,2.820201459,3.196643678,4.019778241,90.9,3549.3,1207.3,101523726,124.13
2010-08-31,1667196,2713,2.831549852,3.181219556,4.000638811,87.5,3758.1,1179.92,98637834,120.79
2010-09-30,1534572,2446,2.860816964,3.150187239,4.032942951,89.8,4207.4,1167.01,96149304,119.76
2010-10-31,1624553,2678,2.853850249,3.106922607,4.04604581,91.7,4265.4,1123.45,103492082,116.23
2010-11-30,1663787,2099,2.831389802,3.080150992,4.041630298,92.4,3897.5,1126.2,108434618,116.88
2010-12-31,1703743,1773,2.824613897,3.042835303,4.063615165,102.4,-1743.9,1147.55,103310016,120.32
2011-01-31,1690064,1107,2.861534411,3.046423947,4.075252344,92.1,-3159.6,1120.07,108132496,118.18
2011-02-28,1461807,1251,2.911290807,3.026439287,4.087296469,82.8,1344.9,1118.14,95482294,120.55
2011-03-31,1892491,1530,2.949682691,2.999607872,4.09060119,97.6,-2438.3,1122.45,114406513,124.2
2011-04-30,1850149,1269,2.956768533,3.010143854,4.107567437,93.1,-2545.2,1086.84,110849490,122.46
2011-05-31,1866503,1480,2.957607287,3.030391227,4.099328022,93.7,-1247.2,1083.54,112479534,120.32
2011-06-30,1785258,1413,2.954628378,3.01678898,4.093923636,97.1,1321.8,1081.27,106136416,118.95
2011-07-31,1898819,1264,2.919731658,3.00866148,4.084334579,93,3938.8,1059.5,112065505,116.65
2011-08-31,1801456,1619,2.872389388,3.019195246,4.064964246,91,4470.5,1073.17,107609471,117.51
2011-09-30,1759455,1899,2.829946696,3.007220161,4.037959277,94.2,2996.3,1118.61,104100709,120.96
2011-10-31,1898425,1965,2.774757768,2.973023117,4.077549944,94.9,3572.4,1155.45,115768036,122.42
2011-11-30,1824419,1846,2.731427587,2.952071652,4.080831322,94.9,6645.7,1132.31,109530100,119.2
2011-12-31,1881658,1738,2.698100546,2.942670653,4.086984481,104.1,1738.1,1147.45,118493246,119.08
2012-01-31,1796668,680,2.668152864,2.99106651,4.101503402,90.8,-2288,1145.85,114719451,120.18
2012-02-29,1653212,750,2.661244609,2.984792759,4.112339183,90.8,-2584,1123.35,104431017,119.74
2012-03-31,1973052,934,2.670941281,3.088877125,4.12096988,98.2,3580,1125.9,115233877,120.49
2012-04-30,1946131,1155,2.681467374,3.154282432,4.121022142,92.9,-144.8,1135.55,112463382,121
2012-05-31,2020565,923,2.702258163,3.161449612,4.093192219,96,5015.8,1154.27,116012160,120.01
2012-06-30,1870134,1004,2.704365036,3.154608365,4.109918898,97.1,6069.3,1165.51,111294474,118.32
2012-07-31,1919994,897,2.687528961,3.13425602,4.114233231,94.5,8375.5,1143.36,114684587,116.76
2012-08-31,1749885,703,2.680879174,3.13330014,4.116967515,90.8,1618,1131.69,101005411,116.72
2012-09-30,1914200,766,2.675778342,3.102136012,4.128306519,95.5,6484.3,1124.78,114604198,116.9
2012-10-31,1913139,1026,2.673941999,3.080133237,4.117153921,94.4,7287.6,1106.93,113784834,114.44
2012-11-30,1896571,1086,2.669316881,3.059941888,4.114797071,96.8,8187.5,1087.52,112610509,111.3
2012-12-31,1896726,699,2.663069279,3.051946073,4.117408524,104.1,7189.4,1076.97,111776926,110.47
2013-01-31,1859163,760,2.661812686,3.084049622,4.141781404,94.3,2752.4,1065.35,116494896,110.4
2013-02-28,1694851,757,2.672097858,3.078349258,4.147815091,89.6,2212.5,1086.68,101124082,113.09
2013-03-31,2062394,910,2.675090623,3.057761927,4.163714033,97.8,6740.2,1102.2,120842064,113.39
2013-04-30,2024656,863,2.688419822,3.040752616,4.171428048,96.8,5039.9,1121.83,112801380,114.06
2013-05-31,2004916,809,2.693902741,3.00277667,4.179424529,97.6,9608.2,1110.67,112126672,113.07
2013-06-30,1975787,1171,2.694385803,2.999695887,4.173465992,97.9,6824.8,1135.21,114289710,115.95
2013-07-31,1995258,1062,2.697054892,3.037634631,4.190318809,96.2,6964.6,1127.23,114477127,114.92
2013-08-31,1940042,1132,2.700703717,3.050355779,4.170564149,93.7,6389.3,1116.98,111931199,114.17
2013-09-30,1875359,2003,2.706077387,3.001142861,4.179829456,94.6,7847.7,1087.35,108931973,111.38
